,Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar,Year,Month,Delta,Price_Delta
1683,2019-08-11,130.071,12.427999999999999,5.6019999999999985,,18.03,2019,8,112.041,
1684,2019-08-12,164.395,17.149,5.715,,22.864,2019,8,141.531,
1685,2019-08-13,163.406,26.343000000000004,4.303999999999999,,30.647,2019,8,132.75900000000001,
1686,2019-08-14,157.21499999999997,21.046,4.8889999999999985,,25.934999999999995,2019,8,131.27999999999997,
1687,2019-08-15,131.43200000000002,4.559,5.897,,10.456,2019,8,120.97600000000001,
1688,2019-08-16,150.34799999999996,16.036999999999995,5.0150000000000015,,21.052000000000003,2019,8,129.29599999999996,
1689,2019-08-17,137.116,3.109,5.553,,8.662,2019,8,128.454,
1690,2019-08-18,130.08300000000006,15.441,6.2970000000000015,,21.738,2019,8,108.34500000000006,
1691,2019-08-19,171.294,14.89,5.382000000000001,,20.272,2019,8,151.02200000000002,
1692,2019-08-20,175.19400000000005,10.137,4.350999999999999,,14.488,2019,8,160.70600000000005,
1693,2019-08-21,173.61500000000004,40.13600000000001,3.5580000000000003,,43.693999999999996,2019,8,129.92100000000005,
1694,2019-08-22,171.59900000000002,6.772000000000001,5.5329999999999995,,12.305,2019,8,159.294,
1695,2019-08-23,169.783,2.3359999999999994,4.456999999999999,,6.793000000000001,2019,8,162.98999999999998,
